comp_bytes	uncomp_bytes	num_apps	path	apps
5036	17848	1	res/e01.xml	alchemist
4966	17916	1	res/dA.xml	alchemist
4959	4959	1	assets/dexopt/baseline.prof	photos
4950	4950	1	assets/dexopt/baseline.prof	weather
4924	18804	1	res/3G.xml	alchemist
4923	14308	1	res/qC.xml	alchemist
4896	4896	3	lib/arm64-v8a/libsurface_util_jni.so	camera,messages,pdf
4838	4838	1	assets/dexopt/baseline.prof	notes
4812	17444	1	res/AN.xml	alchemist
4799	19200	1	res/Wl.xml	alchemist
4774	13848	1	res/Xs.xml	alchemist
4747	4747	1	assets/dexopt/baseline.prof	calendar
4740	11908	1	res/_21.xml	alchemist
4737	17100	1	res/l8.xml	alchemist
4725	17080	1	res/nT.xml	alchemist
4723	14492	1	res/-f.xml	alchemist
4719	17608	1	res/Ff.xml	alchemist
4659	62881	1	assets/style.json	maps
4622	15444	1	res/Un.xml	alchemist
4589	4589	1	assets/dexopt/baseline.prof	contacts
4524	14296	1	res/Lf.xml	alchemist
4517	16088	1	res/9E.xml	alchemist
4498	16308	1	res/Gb.xml	alchemist
4492	19068	1	res/ed.xml	alchemist
4487	4487	1	assets/dexopt/baseline.prof	health
4447	17272	1	res/It.xml	alchemist
4418	13888	1	res/Ca.xml	alchemist
4366	14256	1	res/F_.xml	alchemist
4362	15840	1	res/5Y.xml	alchemist
4360	13644	1	res/1u.xml	alchemist
4339	14456	1	res/LP.xml	alchemist
4338	12836	1	res/3h1.xml	alchemist
4307	12976	1	res/nn1.xml	alchemist
4296	18576	1	res/7a.xml	alchemist
4244	17200	1	res/S1.xml	alchemist
4243	14780	1	res/AB.xml	alchemist
4229	103068	1	assets/packs/14x14.json	pipes
4215	4215	1	assets/dexopt/baseline.prof	clock
4208	18344	1	AndroidManifest.xml	photos
4182	11376	1	LICENSE-junit.txt	passwords
4176	12172	1	res/LA.xml	alchemist
4169	15640	1	res/1R.xml	alchemist
4160	4160	1	assets/dexopt/baseline.prof	camera
4150	14352	1	res/_2.xml	alchemist
4146	4146	1	assets/dexopt/baseline.prof	music
4107	18432	1	res/RX.xml	alchemist
4098	11692	1	res/Io.xml	alchemist
4097	19684	1	AndroidManifest.xml	contacts
4093	15392	1	res/u9.xml	alchemist
4090	4090	1	assets/dexopt/baseline.prof	office
4083	4083	1	assets/dexopt/baseline.prof	passwords
4060	12533	1	assets/US-CA-SLOT/stops.txt	maps
4038	9536	1	res/kE.xml	alchemist
4023	12856	1	res/xA.xml	alchemist
4021	14772	1	res/go.xml	alchemist
4005	4005	4	res/H5.png	findfamily,maps,photos,weather
4001	4001	4	res/Gx.png	findfamily,maps,photos,weather
3998	3998	1	assets/dexopt/baseline.prof	wordmaker
3996	11296	1	res/kB1.xml	alchemist
3994	3994	1	assets/dexopt/baseline.prof	pipes
3986	12952	1	res/0o1.xml	alchemist
3965	3965	1	assets/dexopt/baseline.prof	alchemist
3962	3962	1	assets/dexopt/baseline.prof	solitaire
3937	3937	1	assets/dexopt/baseline.prof	unblockjam
3936	3936	1	assets/dexopt/baseline.prof	chess
3899	13059	1	org/apache/commons/codec/language/bm/gen_rules_any.txt	passwords
3879	96937	1	assets/packs/13x13.json	pipes
3870	16352	1	res/z_.xml	alchemist
3864	12056	1	res/NF1.xml	alchemist
3849	14360	1	res/kF.xml	alchemist
3831	12544	1	res/s4.xml	alchemist
3792	11540	1	res/Pp.xml	alchemist
3785	3785	1	assets/dexopt/baseline.prof	email
3769	17024	1	AndroidManifest.xml	health
3759	12304	1	res/Nd.xml	alchemist
3724	11444	1	res/Hi.xml	alchemist
3701	11544	1	res/_O.xml	alchemist
3659	12624	1	res/KV.xml	alchemist
3633	22388	1	res/4U.xml	alchemist
3628	14452	1	res/q-.xml	alchemist
3601	12356	1	res/eX.xml	alchemist
3598	12100	1	res/01.xml	alchemist
3577	15220	1	res/D9.xml	alchemist
3545	13096	1	res/if.xml	alchemist
3538	12900	1	res/Zy.xml	alchemist
3512	10320	1	res/Mo.xml	alchemist
3503	89400	1	assets/packs/12x12.json	pipes
3493	10586	1	com/google/auto/value/processor/autoannotation.vm	camera
3483	11968	1	res/eT1.xml	alchemist
3475	15024	1	AndroidManifest.xml	calendar
3445	11536	1	res/-d.xml	alchemist
3407	9984	1	res/TK.xml	alchemist
3404	14308	1	AndroidManifest.xml	email
3372	9256	1	res/ol.xml	alchemist
3359	11832	1	res/Nd1.xml	alchemist
3355	10336	1	res/bz.xml	alchemist
3350	22196	1	assets/holidays/India.json	calendar
3346	12476	1	res/Bh.xml	alchemist
3344	9080	1	res/D0.xml	alchemist
3335	10464	1	res/wc1.xml	alchemist
3333	12428	1	res/rr.xml	alchemist
3319	10332	1	res/Jl.xml	alchemist
3267	10828	1	res/2I.xml	alchemist
3262	10812	1	res/im2.xml	alchemist
3260	10160	1	res/Rj.xml	alchemist
3257	12936	1	res/0J.xml	alchemist
3257	13248	1	AndroidManifest.xml	messages
3255	13640	1	AndroidManifest.xml	weather
3227	12224	1	res/ZW1.xml	alchemist
3222	10240	1	res/G2.xml	alchemist
3211	10888	1	res/8e.xml	alchemist
3209	82274	1	assets/packs/11x11.json	pipes
3199	13192	1	res/d_.xml	alchemist
3197	91995	1	assets/packs/inkblot.json	pipes
3177	22348	1	assets/holidays/JewishHolidays.json	calendar
3177	8845	2	google/protobuf/api.proto	messages,youpipe
3173	13392	1	res/85.xml	alchemist
3173	9312	1	res/bF.xml	alchemist
3172	11784	1	res/nE.xml	alchemist
3165	10580	1	res/Vn.xml	alchemist
3162	7708	1	res/i81.xml	alchemist
3159	10908	1	res/UG.xml	alchemist
3152	11832	1	res/lN1.xml	alchemist
3149	10324	1	res/0R.xml	alchemist
3141	8041	2	google/protobuf/field_mask.proto	messages,youpipe
3123	8185	2	google/protobuf/field_mask.proto	camera,photos
3105	9552	1	res/OL.xml	alchemist
3096	11868	1	res/8n.xml	alchemist
3083	11500	1	res/821.xml	alchemist
3051	12756	1	AndroidManifest.xml	findfamily
