comp_bytes	num_apps	waste_bytes	path	apps
984	24	22632	res/Gf.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
966	24	22218	res/uL.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
962	2	962	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_BD	contacts,messages
946	24	21758	res/8h.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
885	2	885	res/7R.xml	music,youpipe
879	2	879	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_MM	contacts,messages
877	9	7016	res/ZW.xml	alchemist,chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
877	2	877	res/ZW.xml	findfamily,maps
877	2	877	res/ZW.xml	music,youpipe
877	2	877	res/ZW.xml	notes,openassistant
874	2	874	res/ZW.xml	calendar,email
851	24	19573	res/d5.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
841	24	19343	res/80.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
840	8	5880	res/Be.xml	chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
839	3	1678	res/Be.xml	clock,notes,openassistant
839	2	839	res/Be.xml	findfamily,maps
838	2	838	res/Be.xml	music,youpipe
837	2	837	res/Be.xml	calendar,email
837	14	10881	res/GD.xml	calendar,camera,clock,contacts,email,maps,messages,office,openassistant,passwords,photos,pipes,wordmaker,youpipe
834	2	834	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_ZW	contacts,messages
831	24	19113	res/U8.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
830	2	830	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_SE	contacts,messages
825	24	18975	res/fM.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
813	24	18699	res/7_.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
801	2	801	res/VC.xml	music,youpipe
785	24	18055	res/Th.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
785	24	18055	res/j4.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
785	2	785	res/bN.xml	findfamily,maps
784	2	784	res/mD1.xml	music,youpipe
782	2	782	res/uD.xml	music,youpipe
779	9	6232	res/Jw.xml	alchemist,chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
779	2	779	res/Jw.xml	notes,openassistant
778	2	778	res/Jw.xml	findfamily,maps
